name,star,comment
等待戈多。,力荐,赤兔的通人性这点其实很好理解，老罗是带给它第二次生命的人，并且一系列的陪伴和照顾让他从站不起的小马到能拍摄很多高难度镜头的特技马，这种人和动物之间的情感建立特别好哭TT
初商月,力荐,从小学看大哥的电影一直到成为社畜，竟然一直都在打也是相当不容易了，喜欢片中穿插的成龙过往作品镜头，让人回味起以前抱着碟片不撒手的时候了，是爽的
大上海红牡丹,较差,"成龙现实对女儿那么绝情，电影里又一往情深。致敬自己的同时还不忘洗白和小龙女的""父女情""，刘浩存知道自己演的谁吗！"
周宇勋,较差,不可否认成龙大哥的敬业精神，只是看到他装模作样演着父女情深的桥段，怎么演怎么跳戏。不知现实中被大哥不闻不问的「小龙女」看到影片中父亲与刘浩存「感人至深」的羁绊时会作何感想？反正我挺想吐的。。（电影想靠各路喜剧咖的堆叠与卖弄「龙虎武师」的回忆杀吸引眼球，结果不仅笑点全崩，连情怀都毫无共情，假的一批。。）（杨子+成龙+少班主的组合本来也是个烂片标配，有期待是我的错！）
正在输入···,较差,龙虎武师管马什么事儿？最后的片长我还以为龙叔要跳下去致敬，谁承想，自己成了自己之前讨厌的样子，什么致敬？什么精神？没钱的时候谈致敬，没钱的时候谈精神，太可惜了。我说完心里也有些隐隐作痛的呢。🐶
呼噜呼噜,力荐,看到是成龙大哥的电影第一时间就去影院看了，总体来说还是ok的，有笑有泪，龙虎武师了不起！
奥特曼,很差,刚看完出来，和想象中一样好难看，真的早就不欠成龙电影票了，也求你别再忽悠观众了。
timoranc,力荐,好喜欢赤兔啊，在电影里的表现太惊喜了，可爱威猛的马马我爱了！！！
淡蛋蛋淡,很差,奥斯卡终身成就奖除了表彰大哥以前的辛苦和贡献，也是让他别再拍了，想打就打给自己看，咱就行行好，别让观众买单了。
春風的異邦人,较差,"存子就是接了太多沙文主义导演的沙文主义故事里基于沙文主义叙事目的而存在的功能性女性角色，才导致她永远困在「假」的藩篱之中，因为这些角色本来就不真啊。要是真想达成父女的双向治愈，有什么理由不把女儿设置成律师，而是要让女婿来完成这个任务？让父亲认可了女婿、让女儿认可了父亲，女儿自身呢？女儿只会承认自己年少叛逆，甜甜地说一句爸爸你好厉害，我第一次知道有爸爸保护是什么感觉。
吴京客串的角色对成龙说“兄弟们你都罩着，有苦你从来不说”，真的吗？不是都花一整部电影来说了吗？"
南开区演员黄渤,很差,女儿对父亲这么多年怨念这么深，一笔带过就和解了，恰恰说明他对小龙女的感情空白，太想当然太假了！
得嘞,还行,如果，只有一龙一马的故事，会更有精神吧
